"25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
3,0,193,37,210,185,113,18,36,53,0,39,49,25,70
56,72,305,167,57,112,93,28,139,44,122,167,38,0,35
144,252,62,0,22,76,98,25,68,47,115,0,22,0,15
102,80,126,58,80,211,459,88,90,27,61,81,37,87,28
24,61,0,68,23,69,81,0,25,0,12,27,79,51,0
43,74,0,0,0,0,0,0,0,0,0,0,0,0,0
103,113,196,75,116,190,111,39,165,49,72,101,35,0,16
12,67,52,55,110,68,51,112,21,43,21,0,0,0,17
304,158,31,159,295,248,189,0,134,69,48,47,188,354,41
103,53,22,51,138,147,0,44,60,42,19,0,27,30,0
55,50,237,241,113,76,322,43,139,0,14,0,76,173,63
29,0,175,233,108,112,131,34,30,55,18,0,12,0,17
128,57,81,65,0,98,43,155,33,101,51,144,23,0,43
55,127,215,368,27,94,170,123,13,10,44,38,71,0,12
0,178,125,41,81,43,123,32,30,16,60,7,52,19,16
38,82,69,61,79,118,82,95,59,14,0,27,20,43,32
0,55,92,125,12,49,74,11,11,34,44,29,43,29,21
135,138,284,180,152,151,104,58,39,24,56,96,51,0,25
82,102,133,81,224,102,57,61,105,14,66,97,67,36,53
45,297,191,135,134,116,253,108,143,0,14,72,0,0,15
9,17,11,30,96,10,0,0,74,38,82,63,8,0,12
9,150,124,84,24,71,94,23,18,31,0,18,52,0,12
112,78,220,130,126,213,77,58,31,35,70,141,48,20,12
435,41,270,158,125,167,326,147,77,12,1,0,115,90,0
41,40,63,263,221,136,59,15,36,7,37,69,74,78,64
93,22,75,160,75,84,49,68,85,96,0,20,60,36,19
81,124,279,179,32,146,64,59,23,8,22,59,43,29,18
182,83,68,8,27,12,15,13,0,0,10,13,0,0,0
100,51,36,301,194,215,309,81,39,32,47,50,38,23,36
86,352,147,70,220,190,44,16,105,66,6,12,19,0,0
267,226,273,169,49,199,204,3,123,47,111,28,5,0,0
239,73,25,28,0,56,23,29,0,0,0,16,0,14,0
157,69,56,108,110,59,75,52,33,59,61,71,18,27,32
35,14,17,45,12,65,49,53,51,36,31,74,32,15,12
184,106,62,277,75,128,73,72,106,24,33,72,12,30,17
