"Less than high school","Some high school","High school graduate or equivalent (for example GED)","Some college, but degree not received or is in progress","Associate’s degree (for example AA, AS)","Bachelor's degree (for example BA, BS, AB)","Graduate degree (for example master's, professional, doctorate)"
0,0,345,119,47,381,139
40,27,358,257,105,501,147
22,117,149,123,41,316,178
23,28,496,342,224,390,112
11,0,111,152,37,139,70
0,0,0,13,14,0,90
162,174,238,278,106,321,102
64,0,286,114,0,94,71
201,57,699,439,232,355,282
0,140,228,144,138,49,37
49,89,525,117,166,469,187
0,223,453,96,34,85,63
21,30,431,226,28,233,53
56,47,526,89,116,489,44
54,87,247,200,37,185,13
13,46,242,163,106,193,56
63,48,75,100,34,189,120
23,21,166,131,169,651,332
24,0,291,70,91,474,330
19,10,360,323,201,357,253
73,0,136,52,30,141,18
0,43,167,66,46,285,103
68,39,324,257,128,251,304
171,26,286,474,355,579,73
158,222,346,245,66,114,52
59,60,221,245,118,152,87
74,143,202,195,35,401,116
10,13,66,26,34,83,199
59,29,286,254,315,498,111
27,270,109,152,52,447,276
51,213,372,150,105,617,196
2,14,65,96,0,177,149
16,19,142,206,34,304,266
13,13,54,87,27,191,156
25,77,136,256,59,358,360
6,50,20,227,91,558,259
19,0,24,37,5,68,235
11,86,128,118,63,508,543
79,98,997,238,54,643,330
0,0,136,31,29,197,118
22,0,216,170,65,390,261
0,18,181,75,92,135,243
0,10,243,170,41,444,202
10,23,229,69,0,80,83
9,6,565,340,63,481,190
12,14,172,139,52,409,166
24,24,288,319,47,244,180
0,39,91,126,73,174,76
29,16,350,168,131,141,127
19,17,364,174,72,364,243
24,0,398,84,41,139,55
144,95,390,210,190,403,272
4,42,220,192,98,200,100
10,28,199,332,108,121,79
30,8,311,118,9,219,22
38,9,86,97,39,141,48
8,0,136,76,44,154,42
59,52,343,588,205,607,541
0,0,339,90,38,114,0
0,381,301,240,19,478,134
98,53,291,208,72,438,701
0,29,27,102,0,283,169
36,12,135,162,42,297,323
16,0,28,72,63,674,477
0,0,3,12,0,150,660
63,0,136,136,167,448,784
32,63,313,78,15,237,148
0,16,55,41,20,112,205
3,78,85,160,102,330,235
88,0,407,166,184,423,390
13,0,78,71,48,285,355
8,24,85,39,11,434,643
28,6,66,129,25,166,494
49,20,91,46,55,122,310
58,55,184,110,8,328,441
0,3,207,31,20,412,139
35,35,96,68,20,479,467
250,135,249,133,36,587,419
20,34,87,102,0,269,221
24,3,184,59,24,293,301
16,21,150,147,44,325,348
11,11,62,42,28,454,532
21,49,237,90,75,406,598
67,67,208,144,60,356,551
22,10,53,65,28,396,469
44,49,146,14,21,542,368
29,21,26,50,76,408,440
28,0,0,80,0,264,256
